"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","ThriveHive","250,000","seed","2015-08-15","Details","Exited"
"2","Techstars","Mapkin","250,000","seed","2014-08-19","Details","Exited"
"3","Techstars","LovePop","54,000","seed","2015-07-13","Details",""
"4","Techstars","ThriveHive","2,500,000","seed","2015-08-15","Details","Exited"
"5","Techstars","RateGravity","2,032,000","venture","2017-05-02","Details",""
"6","Techstars","Cuseum","1,290,000","seed","2015-02-18","Details",""
"7","Techstars","EdTrips","184,000","seed","2015-02-13","Details",""
"8","Techstars","Cuseum","150,000","seed","2015-02-06","Details",""
"9","Techstars","ThriveHive","2,500,000","seed","2015-08-15","Details","Exited"
"10","500startups","Squadle","250,000","seed","2015-08-24","Details",""
"11","Techstars","ecoVent","193,000","seed","2014-10-10","Details",""
"12","Techstars","CoolChip Technologies","250,000","seed","2015-03-05","Details",""
"13","Techstars","Fortified Bicycle","250,000","seed","2014-07-15","Details",""
"14","500startups","BeaconsInSpace","45,000","seed","2015-11-02","Details",""
"15","Techstars","ThriveHive","250,000","seed","2015-08-15","Details","Exited"
