"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Detroit Innovate","Varsity News Network","3,700,000","venture","2015-09-03","Details",""
"2","Start Garden","Varsity News Network","3,700,000","venture","2015-09-03","Details",""
"3","North Coast Technology Investors","Varsity News Network","3,000,000","venture","2014-02-17","Details",""
"4","Arsenal Venture Partners","Varsity News Network","3,700,000","venture","2015-09-03","Details",""
"5","CKM Capital Partners","Varsity News Network","3,000,000","venture","2014-02-17","Details",""
"6","Michigan Angel Fund","Varsity News Network","3,000,000","venture","2014-02-17","Details",""
"7","RSL Venture Partners","Varsity News Network","3,700,000","venture","2015-09-03","Details",""
"8","Northern Michigan Angels","Varsity News Network","3,000,000","venture","2014-02-17","Details",""
"9","Start Garden","Varsity News Network","3,000,000","venture","2014-02-17","Details",""
"10","Northern Michigan Angels","Varsity News Network","3,700,000","venture","2015-09-03","Details",""
"11","Ann Arbor SPARK","Varsity News Network","521,667","venture","2012-02-23","Details",""
"12","Grand Angels","Varsity News Network","3,000,000","venture","2014-02-17","Details",""
"13","North Coast Technology Investors","Varsity News Network","3,700,000","venture","2015-09-03","Details",""
"14","First Step Fund","Varsity News Network","3,000,000","venture","2014-02-17","Details",""
"15","Arsenal Venture Partners","Varsity News Network","3,000,000","venture","2014-02-17","Details",""
"16","Momentum","Revetto","20,000","seed","2009-05-01","Details","Dead"
"17","Lior Prosor","Varsity News Network","3,000,000","venture","2014-02-17","Details",""
"18","Michigan Angel Fund","Varsity News Network","3,700,000","venture","2015-09-03","Details",""
"19","RSL Venture Partners","Varsity News Network","3,000,000","venture","2014-02-17","Details",""
"20","Momentum","TerraPerks","","seed","2010-05-01","Details",""
