"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Meetings.io","1,600,000","seed","2011-07-10","Details","Exited"
"2","Y Combinator","reMail","","seed","2009-01-01","Details","Exited"
"3","Y Combinator","Pachyderm","2,000,000","seed","2015-06-10","Details",""
"4","Y Combinator","Leftronic","500,000","seed","2010-11-17","Details","Exited"
"5","Y Combinator","CardPool","","seed","2010-01-01","Details","Exited"
"6","Y Combinator","URX","3,100,000","seed","2013-09-01","Details","Exited"
"7","Y Combinator","Tagstand","1,100,000","seed","2011-10-14","Details",""
"8","Y Combinator","GOAT","1,600,000","angel","2011-05-01","Details",""
"9","Y Combinator","Taplytics","2,400,000","seed","2015-05-20","Details",""
"10","Y Combinator","Opzi","1,000,000","angel","2010-09-01","Details","Dead"
"11","Y Combinator","SocialCam","","angel","2012-04-30","Details","Exited"
"12","Y Combinator","280 North","250,000","angel","2008-03-01","Details","Exited"
"13","Imagine K12","Panorama","4,000,000","seed","2013-10-21","Details",""
"14","Y Combinator","Rapportive","1,000,000","seed","2010-08-02","Details","Exited"
"15","Y Combinator","Nowmov","","angel","2010-05-01","Details","Dead"
"16","Y Combinator","Custora","","seed","2012-01-05","Details",""
"17","Y Combinator","CarWoo","300,000","seed","2010-01-01","Details","Dead"
"18","Y Combinator","Ambition","","seed","2014-02-01","Details",""
"19","Y Combinator","Reddit","50,000,000","venture","2014-09-30","Details","Exited"
"20","Y Combinator","Parenthoods","1,320,000","seed","2014-11-06","Details",""
"21","Y Combinator","Auctomatic","400,000","angel","2007-01-01","Details","Exited"
"22","Y Combinator","Tilt","2,100,000","seed","2012-05-17","Details","Exited"
"23","Y Combinator","Panorama Education","4,000,000","seed","2013-10-21","Details",""
"24","Y Combinator","Appjet","700,000","angel","2007-08-01","Details","Exited"
"25","Y Combinator","Volantio","70,000","seed","2009-03-01","Details",""
"26","Y Combinator","Cue","700,000","seed","2010-08-31","Details","Exited"
"27","Y Combinator","Swiftype","1,700,000","seed","2013-08-15","Details",""
"28","Y Combinator","1000Memories","2,520,000","venture","2011-02-16","Details","Exited"
"29","Y Combinator","AeroFS","","seed","2010-08-20","Details",""
"30","Y Combinator","Octopart","359,999","seed","2008-05-12","Details","Exited"
"31","Y Combinator","PicnicHealth","2,000,000","seed","2015-04-02","Details",""
"32","Y Combinator","Sendwithus","2,300,000","seed","2014-09-25","Details",""
