"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Elasticode","110,000","venture","2015-10-01","Details",""
"2","Techstars","Wunder","3,600,000","venture","2016-03-08","Details",""
"3","Techstars","Gone!","1,000,000","seed","2015-04-22","Details",""
"4","Techstars","FEM Inc.","120,000","seed","2015-07-06","Details",""
"5","Techstars","Knyttan","100,000","convertible_note","2014-12-02","Details",""
"6","Techstars","Pushmote","118,000","convertible_note","2015-03-30","Details",""
"7","Techstars","DigitalOcean","","seed","2012-05-17","Details",""
"8","Techstars","MAX","100,000","convertible_note","2015-09-29","Details",""
"9","Techstars","Nebulab","110,000","venture","2015-10-01","Details",""
"10","Techstars","Akdemia","118,000","seed","2015-06-15","Details",""
"11","Techstars","Eversport","118,000","seed","2015-06-15","Details",""
"12","Techstars","DigitalOcean","3,205,800","seed","2013-07-15","Details",""
"13","Techstars","Threat Stack","118,000","seed","2013-01-14","Details",""
"14","Techstars","Hunting Locator","118,000","convertible_note","2015-04-01","Details",""
"15","Techstars","Virtkick","118,000","convertible_note","2015-01-28","Details","Exited"
"16","Techstars","Skysense","120,000","seed","2015-06-05","Details",""
"17","Techstars","CDL Warrior","100,000","convertible_note","2015-07-01","Details",""
"18","Techstars","ResponsiveAds","100,000","convertible_note","2016-02-22","Details",""
"19","Techstars","Nveloped","100,000","convertible_note","2012-08-09","Details",""
"20","Techstars","Shareable Social","100,000","convertible_note","2014-07-04","Details",""
"21","Techstars","SocialCapital","120,000","seed","2016-02-22","Details",""
"22","Techstars","Fish Bowl VR","118,000","convertible_note","2015-09-12","Details",""
"23","Techstars","Sigmend","120,000","seed","2016-01-15","Details",""
"24","Techstars","Mapkin","368,000","convertible_note","2014-01-21","Details","Exited"
"25","Techstars","Netra","18,000","seed","2015-06-04","Details",""
"26","Techstars","Slash","100,000","convertible_note","2015-09-24","Details",""
"27","Techstars","Classics&Exotics","120,000","seed","2015-06-09","Details",""
"28","Techstars","Plated","5,000,000","venture","2014-01-06","Details",""
"29","Techstars","Edify","118,000","convertible_note","2015-06-23","Details",""
"30","Techstars","Peerby","2,100,000","venture","2014-10-30","Details",""
"31","Techstars","Inscope Medical Solutions","20,000","grant","2015-08-27","Details",""
"32","Techstars","Yosko","","seed","2014-03-12","Details",""
"33","Techstars","Distil","21,000,000","venture","2016-08-02","Details",""
"34","Techstars","PillPack","3,500,000","venture","2013-07-01","Details",""
"35","Techstars","App Samurai","120,000","seed","2017-01-25","Details",""
"36","Techstars","Flomio","18,000","seed","2012-01-01","Details",""
"37","Techstars","Rallyware","118,000","seed","2013-02-25","Details",""
"38","Techstars","LSQ","110,000","venture","2015-10-01","Details",""
"39","Techstars","LiveLike","100,000","convertible_note","2015-09-24","Details",""
"40","Techstars","Placemeter","18,000","angel","2013-04-02","Details","Exited"
"41","Techstars","Sailo","100,000","convertible_note","2015-10-01","Details",""
