"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AIB Seed Capital Fund","Fantom","600,000","seed","2011-12-23","Details",""
"2","NDRC","VideoElephant","1,100,000","seed","2012-12-01","Details",""
"3","Enterprise Ireland","VideoElephant","1,400,000","seed","2016-08-01","Details",""
"4","DCU Ryan Academy for Entrepreneurship","Fantom","30,000","seed","2011-01-01","Details",""
"5","DCU Ryan Academy for Entrepreneurship","GreenEgg Technologies","30,000","seed","2011-06-05","Details",""
"6","Peter O'Grady Walshe","VideoElephant","1,000,000","seed","2014-10-23","Details",""
"7","Digital Irish New York Syndicate","VideoElephant","1,400,000","seed","2016-08-01","Details",""
"8","AIB Seed Capital Fund","VideoElephant","1,000,000","seed","2014-10-23","Details",""
"9","DCU Ryan Academy for Entrepreneurship","Healthcomms","30,000","seed","2011-06-05","Details",""
"10","Enterprise Ireland","SwiftQueue","550,000","seed","2015-10-05","Details",""
"11","DCU Ryan Academy for Entrepreneurship","Simple Lifeforms","40,000","seed","2011-02-25","Details",""
"12","EM-MEDIA","Simple Lifeforms","100,000","seed","2008-12-19","Details",""
"13","NDRC","Picturk","","seed","2010-09-01","Details",""
"14","Enterprise Ireland","SwiftQueue","50,000","seed","2012-02-23","Details",""
"15","Enterprise Ireland","VideoElephant","1,100,000","seed","2012-12-01","Details",""
"16","Barry Pitcher","VideoElephant","1,100,000","seed","2012-12-01","Details",""
"17","Peter O'Grady Walshe","VideoElephant","1,400,000","seed","2016-08-01","Details",""
"18","Kernel Capital","SwiftQueue","550,000","seed","2015-10-05","Details",""
"19","Enterprise Ireland","LikeWhere","50,000","grant","2014-01-10","Details",""
"20","Seed and Early Stage Fund","SwiftQueue","550,000","seed","2015-10-05","Details",""
"21","Dublin Business Innovation Centre","VideoElephant","1,000,000","seed","2014-10-23","Details",""
"22","Enterprise Ireland","VideoElephant","1,000,000","seed","2014-10-23","Details",""
"23","DCU Ryan Academy for Entrepreneurship","SwiftQueue","30,000","seed","2012-04-01","Details",""
"24","ACT Venture Capital","VideoElephant","1,000,000","seed","2014-10-23","Details",""
"25","Gerry O'Shaughnessy","VideoElephant","1,400,000","seed","2016-08-01","Details",""
"26","Bloom Equity","Fantom","600,000","seed","2011-12-23","Details",""
"27","Paddy Bolger","VideoElephant","1,100,000","seed","2012-12-01","Details",""
"28","DCU Ryan Academy for Entrepreneurship","LikeWhere","20,000","angel","2013-12-06","Details",""
"29","DCU Ryan Academy for Entrepreneurship","Vendorshop","30,000","seed","2011-06-05","Details","Dead"
"30","ACT Venture Capital","VideoElephant","1,400,000","seed","2016-08-01","Details",""
"31","ACT Venture Capital","VideoElephant","1,100,000","seed","2012-12-01","Details",""
"32","DCU Ryan Academy for Entrepreneurship","Picturk","30,000","seed","2012-06-05","Details",""
"33","Tom Kennedy","VideoElephant","1,400,000","seed","2016-08-01","Details",""
"34","DCU Ryan Academy for Entrepreneurship","VideoElephant","1,100,000","seed","2012-12-01","Details",""
"35","DCU Ryan Academy for Entrepreneurship","Youshipped","30,000","seed","2013-12-06","Details","Dead"
"36","DCU Ryan Academy for Entrepreneurship","LikeWhere","35,000","debt_financing","2013-03-01","Details",""
"37","DCU Ryan Academy for Entrepreneurship","Volvam","30,000","seed","2013-12-06","Details",""
"38","DCU Ryan Academy for Entrepreneurship","billfaster","30,000","seed","2013-12-06","Details",""
"39","Enterprise Ireland","billfaster","330,000","undisclosed","2011-12-07","Details",""
