"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","DreamIT Ventures","NarrativeDx","650,000","seed","2015-06-08","Details",""
"2","Boost VC","Favor","13,000,000","venture","2015-03-13","Details",""
"3","AlphaLab","Insurance Zebra","4,500,063","seed","2013-12-06","Details",""
"4","Capital Factory","Sparefoot","850,000","venture","2009-09-01","Details",""
"5","Capital Factory","Aceable","4,700,000","seed","2015-10-01","Details",""
"6","Boost VC","Favor","1,200,000","debt_financing","2013-04-01","Details",""
"7","Boost VC","Favor","660,000","seed","2013-11-07","Details",""
"8","Techstars","Clarify","1,000,000","seed","2014-10-29","Details",""
"9","Capital Factory","Famigo","1,000,000","seed","2012-03-29","Details",""
"10","AlphaLab","Black Locus","2,500,000","venture","2011-07-01","Details","Exited"
"11","Techstars","Self Lender","1,500,000","seed","2015-07-21","Details",""
"12","Techstars","Self Lender","5,000,000","venture","2017-07-19","Details",""
"13","DreamIT Ventures","TrendKite","4,417,202","venture","2015-02-26","Details",""
"14","DreamIT Ventures","TrendKite","1,000,000","venture","2014-09-23","Details",""
"15","Capital Factory","Aceable","4,000,000","venture","2016-09-23","Details",""
"16","Techstars","PenPal Schools","","seed","2015-04-01","Details",""
"17","Boost VC","Favor","2,000,000","seed","2014-09-04","Details",""
"18","DreamIT Ventures","TrendKite","1,000,000","venture","2013-08-21","Details",""
"19","AlphaLab","Insurance Zebra","1,500,000","seed","2013-01-31","Details",""
"20","Capital Factory","Sparefoot","3,500,000","venture","2011-03-07","Details",""
