"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Amplify.LA","Weaver Labs","","seed","2014-12-01","Details",""
"2","Y Combinator","Circle Medical","2,900,000","seed","2015-11-20","Details",""
"3","Techstars","Nestio","8,000,000","venture","2015-12-01","Details",""
"4","Y Combinator","MinoMonsters","1,000,000","seed","2011-11-10","Details",""
"5","Amplify.LA","Battlefy","1,300,000","seed","2014-01-14","Details",""
"6","Highline","Granify","1,500,000","seed","2013-11-06","Details",""
"7","500startups","YouStake","50,000","seed","2016-08-02","Details",""
"8","Amplify.LA","Fama","1,500,000","seed","2015-12-23","Details",""
"9","500startups","Vango","","seed","2014-05-31","Details",""
"10","LAUNCH incubator","Momunt","500,000","seed","2015-06-01","Details",""
"11","500startups","Mycroft","","venture","2017-06-14","Details",""
"12","500startups","hapyrus","925,000","venture","2013-06-01","Details",""
"13","Techstars","Ambassador","2,350,000","venture","2015-06-15","Details",""
"14","Techstars","Ambassador","2,798,434","venture","2012-02-01","Details",""
"15","Techstars","Cosmos Labs","120,000","seed","2015-06-15","Details",""
"16","Techstars","VendorHawk","1,200,000","seed","2017-06-29","Details",""
"17","Techstars","Stream","1,750,000","seed","2015-08-11","Details",""
"18","500startups","fitocracy","250,000","seed","2013-01-01","Details",""
"19","500startups","Cleanify","1,800,000","seed","2015-11-16","Details",""
"20","Y Combinator","Style Lend","50,000","seed","2015-03-01","Details",""
"21","Seedcamp","zemanta","2,000,000","venture","2013-11-05","Details",""
"22","Techstars","Sidelines","","seed","2014-01-01","Details",""
"23","Le Camping","Onefeat","","angel","2012-08-01","Details",""
"24","fbFund","Kontagent","1,000,000","angel","2010-04-09","Details",""
"25","Y Combinator","Popular Pays","2,000,000","venture","2015-07-23","Details",""
"26","The Brandery","Crowdhall","700,000","seed","2013-05-09","Details","Dead"
"27","LaunchpadLA","Big Frame","3,400,000","seed","2012-06-27","Details","Exited"
"28","AngelPad","SimpleReach","13,600,000","venture","2017-04-21","Details",""
"29","Techstars","Cosmos Labs","850,000","seed","2015-12-15","Details",""
"30","The Alchemist Accelerator","FunnelBeam","100,000","seed","2016-07-12","Details",""
"31","Portland Incubator Experiment (PIE)","Little Bird","","venture","2015-06-01","Details","Exited"
"32","Y Combinator","Treeline","50,000","seed","2015-04-01","Details",""
"33","The Alchemist Accelerator","LeadIQ","","seed","2015-10-13","Details",""
"34","Techstars","Clarify","1,000,000","seed","2014-10-29","Details",""
"35","Y Combinator","Popular Pays","","seed","2015-04-01","Details",""
"36","AngelPad","SimpleReach","9,000,000","venture","2014-07-11","Details",""
"37","9Mile Labs","Unoceros","25,000","seed","2015-12-11","Details",""
"38","Techstars","Fashion Project","500,000","undisclosed","2014-03-10","Details",""
"39","Y Combinator","Povio","75,000","angel","2014-05-01","Details",""
"40","Y Combinator","Streamup","1,000,000","seed","2015-05-01","Details",""
"41","Mucker Lab","GetMeRated","","seed","2013-12-01","Details",""
"42","Techstars","Nestio","1,500,000","seed","2013-07-09","Details",""
"43","RockHealth","BitGym","25,000","seed","2012-02-01","Details",""
"44","Y Combinator","Earbits","","angel","2013-01-01","Details","Exited"
"45","Techstars","WantWorthy","","angel","2011-12-01","Details","Dead"
"46","Blue Startups","Vantage Sports","2,000,000","seed","2015-08-01","Details",""
"47","500startups","Vantage Sports","2,000,000","seed","2015-08-01","Details",""
"48","i/o ventures","Onefeat","","angel","2012-08-01","Details",""
"49","AngelPad","Astronomer","750,000","angel","2016-04-15","Details",""
"50","Highline","Granify","9,000,000","venture","2015-05-26","Details",""
"51","9Mile Labs","Unoceros","50,000","seed","2016-04-19","Details",""
"52","Amplify.LA","Fama","","seed","2015-08-01","Details",""
"53","LaunchpadLA","Big Frame","25,000","seed","2012-03-01","Details","Exited"
"54","500startups","Sidelines","","seed","2014-01-01","Details",""
"55","Techstars","Slash","1,300,000","seed","2015-12-09","Details",""
"56","Techstars","Littlstar","5,242,207","venture","2016-05-24","Details",""
"57","Techstars","Littlstar","1,125,000","angel","2015-06-01","Details",""
"58","Y Combinator","Interviewed","2,000,000","seed","2015-09-29","Details",""
"59","Techstars","EveryMove","25,000","angel","2012-01-01","Details","Exited"
"60","500startups","fitocracy","","seed","2013-05-01","Details",""
"61","500startups","Vango","2,200,000","seed","2015-05-28","Details",""
